"business" "fullname" "sampwsw" "scorewsw" "sampwosw" "scorewosw" "totalsamples" "totalreviewscore" "pvalues" "qvalues" "city" "state" "lat" "long"
"22" "-sC66z4SO3tR7nFCjfQwuQ" "Gallo Blanco" 326 3.20995080770936 214 3.5082406982226 540 3.32816198654239 0.000153303244196061 0.045022003103305 "Phoenix" "AZ" 33.491112 -112.0791977
"23" "-tBiXT917wKlr6n9wSqViw" "The Keg Steakhouse + Bar" 47 2.98380471950477 19 2.66881300879245 66 2.89312528763304 0.30276149419918 0.705438924962039 "Gilbert" "AZ" 33.307325126378 -111.74171169729
"24" "-UT6IHfVW_2yzz1bf8WI5g" "Tediberto's" 18 2.88786614344526 10 2.7066505753283 28 2.82314629768921 0.77571994351568 0.849650983862972 "Phoenix" "AZ" 33.4587814 -112.0722749
"25" "-vHWAsiX0iHWJw-pkqv32Q" "Kona Grill" 44 2.65310699532257 44 2.75165233243628 88 2.70237966387943 0.624290404391339 0.815601258171936 "Chandler" "AZ" 33.3022462 -111.897967
"26" "-WZIxGXJHMGidZXRhKxP3w" "Mimi's Cafe" 24 2.36893312333854 11 2.01135373679456 35 2.25655103042472 0.401801555311821 0.735799813523382 "Phoenix" "AZ" 33.678615 -111.9746066
"27" "-xFO1E3OiDMmdqdjwUM_DA" "Losbetos Mexican Food" 12 2.88020568356995 25 2.86483414217186 37 2.86981950694962 0.970796463113364 0.870155492035663 "Scottsdale" "AZ" 33.4820955 -111.9085122
"28" "-yxfBYGB6SEqszmxJxd97A" "Quiessence Restaurant" 86 2.91214397053423 22 3.18376641933366 108 2.96747446936374 0.304805069747922 0.705542871160347 "Phoenix" "AZ" 33.3906771 -112.0129108
"29" "_-9pMxBWtG_x8l4rHWBasg" "Black Chile Mexican Grill" 58 2.62872278038308 40 3.00454221541458 98 2.78211846815104 0.108018902456315 0.572291599061811 "Phoenix" "AZ" 33.5102068 -112.0272041
"30" "_9h-jH3YOkAU9-2A-dy6YQ" "Old Chicago" 30 2.44013603310699 13 2.27420980146541 43 2.38997228865721 0.667608097589017 0.823297772388417 "Mesa" "AZ" 33.384734 -111.857879
"31" "_AvHni-xdRHmZ3XfYHwGkg" "Posh Improvisational Cuisine" 93 3.38091721152002 50 3.12395949442347 143 3.29107185589185 0.244761187340401 0.667682812401526 "Scottsdale" "AZ" 33.5068492 -111.9280645
"32" "_CG5zJAoNN6gszjhSyUcww" "Chodang" 60 2.98953615019315 48 3.2900597821304 108 3.12310220883193 0.0704090627336124 0.565945318461647 "Chandler" "AZ" 33.3118297 -111.8411529
"33" "_FXql6eVhbM923RdCi94SA" "Hula's Modern Tiki" 272 3.26552052237376 165 3.11086939826808 437 3.20712822151006 0.0824475710640826 0.565945318461647 "Phoenix" "AZ" 33.5062078 -112.0739142
"34" "_HTE4pOKeJC7kcxiCF9vTA" "Noodles Ranch" 73 2.94208383553842 68 3.08043283279037 141 3.00880533775922 0.460236532317028 0.763985749276339 "Scottsdale" "AZ" 33.4787939 -111.9259092
"35" "_L9E4eZWX0vdePNjU1xtuQ" "Toyama" 30 3.46687473916174 18 3.84672420733313 48 3.60931828972601 0.203229419029853 0.639902247683623 "Scottsdale" "AZ" 33.699087 -111.923733
"36" "_oBxfuBd2qDEWaYsdvP_dg" "Gordon Biersch Brewery Restaurant" 31 2.32558617664227 20 2.68907009727844 51 2.46812889061724 0.308632453084947 0.705781660880591 "Glendale" "AZ" 33.5360672 -112.2635504
"37" "_ODHYjCmrb3W9hIGJI1uaA" "Loving Hut" 59 2.84471109103374 32 2.58458815910621 91 2.75323929079549 0.294484371848302 0.69777722000409 "Phoenix" "AZ" 33.4950082 -112.0114032
"38" "_oQN89kF_d97-cWW0iO8_g" "Mi Comida Restaurante Latino" 69 3.56462316550588 33 3.54557386841523 102 3.55846015762361 0.919971572217654 0.864543834214415 "Phoenix" "AZ" 33.6391363 -112.150244
"39" "_OYlq2UoKPQO_ElqhC3a8w" "Lucky Strike" 64 2.92137101402172 36 2.63593483933504 100 2.81861399113451 0.242916073362896 0.666543280632124 "Phoenix" "AZ" 33.4475173 -112.0742715
"40" "_ql42UadWUh9SgU09_c2mQ" "Pei Wei - Asian Inspired. Freshly Made." 10 2.90720312505998 16 2.5408096357727 26 2.6817302085755 0.391162212459008 0.734099593788488 "Scottsdale" "AZ" 33.566109 -111.9244817
"41" "_qTzOkbin2giDOrFsaxm8A" "Al-Hana" 23 3.61883897040902 29 3.44114221782066 52 3.51973885838859 0.46626507246093 0.766054645498543 "Phoenix" "AZ" 33.455036 -112.038676
"42" "_RBUU1y4yJrK0SPAd8z0-w" "Indian Delhi Palace" 54 2.91477996401261 44 2.75923063310521 98 2.84494148891133 0.494011131891006 0.772048088655469 "Phoenix" "AZ" 33.4657562 -111.9718284
"43" "_tkAI5Q5XQSfgbqJzDKSDQ" "Old Town Tortilla Factory" 94 2.11228270537986 43 2.05617594676069 137 2.09467255486436 0.793476981695704 0.85401972455593 "Scottsdale" "AZ" 33.4931793 -111.9320931
"44" "_w2wIsBh-1M1ZCed2KjLlw" "Red Devil Italian Restaurant & Pizzeria" 16 2.4353734908763 13 2.23022205100531 29 2.34340905231344 0.696495190062392 0.827214514622039 "Tempe" "AZ" 33.3928411 -111.9423676
"45" "_YswYrpv6YdO3R3CP8R8oQ" "Morton's The Steakhouse" 25 2.1734702724591 15 2.59632539530992 40 2.33204094352815 0.260336357244145 0.679639901136265 "Scottsdale" "AZ" 33.625473 -111.9263251
"46" "0_vMnSRqc5aZUg1eBk3l2g" "Paradise Bakery & Cafe" 10 2.15387783739583 21 2.08960197416531 31 2.11033612359451 0.863446987520192 0.863030953467923 "Tempe" "AZ" 33.4341094982183 -111.901867389679
"47" "06kfoeRs9Acj82Yl3i9p_w" "Wildflower Bread Company" 20 3.54116280530072 24 3.3022504272726 44 3.41084696273993 0.391743526298838 0.734099593788488 "Gilbert" "AZ" 33.378983 -111.7582579
"48" "07OyvsOpqTWuyTtvE4_gcA" "Palee's Crown" 35 3.38805643678849 25 3.3613377348504 60 3.37692364431429 0.922410927390524 0.864543834214415 "Mesa" "AZ" 33.37831 -111.861418
"49" "0AZiq_OMKs3I9lTmwd5PSg" "Tommy V's Osteria and Pizzeria" 28 2.82087575624365 11 3.17208934904224 39 2.91993600036633 0.504015044524569 0.776767571794443 "Phoenix" "AZ" 33.5098716 -112.0114247
"50" "0CG3ns3gwWV5nOnfzSfUIQ" "Black Bear Diner" 31 3.08340425664718 17 2.61124732383717 48 2.9161820096103 0.217631332525363 0.648596252180381 "Goodyear" "AZ" 33.4565552135511 -112.341608594041
"51" "0db71MbrvcJnyk71COCJBg" "Great Wall Cuisine" 71 2.7040769844707 48 3.09397115444988 119 2.86134522110096 0.0318729132747723 0.46157520818461 "Phoenix" "AZ" 33.5108736 -112.1341836
"52" "0dORc6ckZw5HezR3BuSsqw" "Green New American Vegetarian" 38 3.7298792195247 71 3.40580225387268 109 3.51878321437522 0.113162635702562 0.577764431172884 "Phoenix" "AZ" 33.47014 -112.065474
"53" "0gQrhOYWdO0XVZEKtOrvaA" "Red Devil" 21 2.81976603270973 12 3.38504315549985 33 3.02532135008796 0.0827982595960875 0.565945318461647 "Phoenix" "AZ" 33.6406665 -112.0176895
"54" "0hYTkJtgQGu-ysCZnmFZDQ" "The Siamese Cat" 17 3.16510146558841 10 2.74946649973018 27 3.01116258934462 0.445648382279921 0.755180046693945 "Tempe" "AZ" 33.3795165 -111.8934231
"55" "0K35eGvzVRZEirNo5v_WfA" "Ajo Al's Mexican Cafe" 34 2.18816873727776 17 2.51510296192538 51 2.2971468121603 0.340736282550568 0.730471163542478 "Phoenix" "AZ" 33.5113051 -112.0471421
"56" "0K634ehk41ZRc4kj3NTAEQ" "Chompie's Deli" 132 2.68856560409536 88 2.93347432889422 220 2.78652909401491 0.0941990795806578 0.565945318461647 "Tempe" "AZ" 33.4224126 -111.9199032
"57" "0lEp4vISRmOXa8Xz2pWhbw" "Cafe Zupas" 26 3.20164111048267 26 2.79468253656869 52 2.99816182352568 0.175964600066792 0.627308090052506 "Phoenix" "AZ" 33.508736 -112.041489
"58" "0nGjXTpUtpIJl10PL0eBGg" "Breakfast Club" 43 2.58512333267096 11 2.72647759295601 54 2.61391771902533 0.7180792006573 0.837219152628616 "Phoenix" "AZ" 33.4473356 -112.0734239
"59" "0NhcabzEyeCIMsNCPOX-MQ" "Jimmy John's" 13 2.07817236951168 17 2.49711101817316 30 2.31557093708652 0.343293692167109 0.730638727654309 "Tempe" "AZ" 33.392384 -111.926508
"60" "0ONypOKIhttBz9IJzBE8jg" "Fleming's Prime Steakhouse & Wine Bar" 39 3.14733655508394 26 2.70452251596223 65 2.97021093943526 0.159979054011622 0.625044229275754 "Chandler" "AZ" 33.3184674 -111.9682552
"61" "0qPmDwHa9NdvvIOgerR8HQ" "Canal Restaurant" 29 2.72630013787575 13 2.95855899438311 42 2.79818978393755 0.377371922328154 0.734099593788488 "Scottsdale" "AZ" 33.499705 -111.927222
"62" "0qUesn1TBPpPjW20h5Lqfg" "Fresh Wasabi" 39 3.23836410521247 40 3.40658570271557 79 3.32353959761911 0.386473087526313 0.734099593788488 "Glendale" "AZ" 33.637161 -112.19974
"63" "0RqNRc6RiILzZxK9J8Kqug" "Red Robin Gourmet Burgers" 18 2.48722558686532 13 2.83899377892054 31 2.63474128030783 0.432391002725818 0.74524217235626 "Phoenix" "AZ" 33.711091 -112.1122766
"64" "0tqrgESNOpN2CNoEtCGYpQ" "Joe's Crab Shack" 18 2.18041794407052 15 1.52792879230378 33 1.88383196599473 0.192521741487241 0.627308090052506 "Tempe" "AZ" 33.393371 -111.912406
"65" "0udEgNqy5rLR5pZ4kD19Og" "Thai Basil" 85 3.17843784536824 66 3.13429579434615 151 3.15914396876256 0.777755142587563 0.850830589115603 "Tempe" "AZ" 33.4215393 -111.9447821
"66" "0vzZ_Bcb02rJljeMU9XkBw" "Sakana Sushi & Grill" 86 2.94768939722548 45 3.2526049841998 131 3.05243139275101 0.154909996547967 0.620883226094821 "Phoenix" "AZ" 33.347684 -111.976156
"67" "0yBs5wbVw9gTIDe9Z-rMTg" "Bonfire Grill and Bar" 32 2.90102247690731 12 3.33098264489142 44 3.01828434090297 0.406028010547057 0.735799813523382 "Scottsdale" "AZ" 33.491695 -111.925624
"68" "1-1VcGTL3GyCqUpXZLFTZA" "Friday's Front Row Sports Grill" 21 2.9423443790493 13 2.73534904692553 34 2.86319910500197 0.524471832611703 0.78062146064937 "Phoenix" "AZ" 33.445956 -112.06625
"69" "1_siFXaQbxck3tiKRwnq7Q" "AZ Bread Company" 47 3.49805217816551 32 2.99858232725086 79 3.2957352765292 0.0320753872301626 0.46157520818461 "Tempe" "AZ" 33.348763010086 -111.9443510501
"70" "1_WD7kvNQAbscw1c7CFH3A" "Hey Joe! Filipino Street Food Truck" 16 3.33995063991576 26 3.15767743985557 42 3.22711484940231 0.549103477237896 0.794076056640164 "Phoenix" "AZ" 33.4528292 -112.0685027
"71" "10BgGvCMDH-JbYsg8KRLRg" "3 Roots Coffee House and Cafe" 21 3.05554547037267 21 2.6754260872759 42 2.86548577882429 0.222766590729062 0.654764369595266 "Tempe" "AZ" 33.418499 -111.940305
"72" "136zvrfN6Kpr9tFj3OMNUQ" "Panchero's Mexican Grill" 10 2.46633337904001 24 2.57694209360822 34 2.54441011873522 0.764368620462136 0.845163791953119 "Tempe" "AZ" 33.4342595 -111.9252882
"73" "14K90G-hbfk795NY7cKxMA" "Blue 32 Sports Grill" 48 2.77155804425945 25 3.13265151851053 73 2.89522019297557 0.0966926090552829 0.572183275763728 "Gilbert" "AZ" 33.3072503 -111.7573191
"74" "1621ir5mjVgbHwxCbMAEjg" "Thai Rama" 34 2.64247237185373 17 2.47900326095909 51 2.58798266822218 0.664485982271388 0.823297772388417 "Tempe" "AZ" 33.4219147 -111.925242
"75" "17DI33J8TkcfzyoiIYLQIw" "Thai House" 25 2.45221129076274 34 3.22098531486656 59 2.89523360973782 0.0147786179242686 0.360220105097889 "Scottsdale" "AZ" 33.581569 -111.931282
"76" "18TUn9oiW0k0yB6lheiOvw" "TEXAZ Grill" 86 2.9028646247382 79 2.96187072729023 165 2.93111603141463 0.750783958633323 0.840716671657719 "Phoenix" "AZ" 33.523984 -112.04698
"77" "1AMncE6Lxdr6J9PeqZi4nA" "Bill Johnson's Big Apple Restaurants" 31 2.34312270872867 11 2.10627313467242 42 2.28109067742823 0.637138139024312 0.817709913885755 "Phoenix" "AZ" 33.4506964 -112.0000523
"78" "1CNKe3H07sLu6rigOpAYsg" "Dave & Buster's" 38 2.37392937113597 49 2.61695994088156 87 2.51080865754441 0.278569807892583 0.693183609050061 "Tempe" "AZ" 33.4330915862538 -111.903580307697
"79" "1cTI09YZ3uRPXt3YkznuPg" "A Touch of European Cafe" 38 3.43967968832352 23 3.63913035399249 61 3.51488239832985 0.419675024479189 0.740709461637238 "Glendale" "AZ" 33.5414182 -112.1825527
"80" "1DjRf3AdYpdlC1Df9KD6rA" "Fire + Spice" 12 2.2611122662387 10 3.38073509906609 22 2.7700317357057 0.00750948943661901 0.288561357012797 "Tempe" "AZ" 33.4108625 -111.9701785
"81" "1Duul3qCnLrNak1Np-iHfw" "Pita Jungle" 96 2.96740434341179 59 3.22820750543605 155 3.06667780508554 0.0990854175265795 0.572183275763728 "Chandler" "AZ" 33.319062 -111.874339
"82" "1F-pelV0fTduYV_vCrvjLA" "Black Bear Diner" 43 3.05846236499302 20 2.16683557552693 63 2.77540624135299 0.00251674904323484 0.189719713451671 "Gilbert" "AZ" 33.3786079 -111.7923334
"83" "1f0g466Geu4nDdJhYQ_Vhg" "Q to U BBQ" 11 3.65789160790312 32 3.62040929712095 43 3.62999779522801 0.902257621701677 0.864543834214415 "Anthem" "AZ" 33.8644291 -112.1353054
"84" "1ggcLvWPBDWnp5MVTRnoRg" "Old Spaghetti Factory" 40 2.11381287187446 19 1.38097056986775 59 1.87781280851637 0.0282256169043737 0.441114221429146 "Chandler" "AZ" 33.3056625 -111.8975208
"85" "1LSxfyNIUFbQb-Ej0FDGTw" "Mimi's Cafe" 35 2.16022640950541 10 2.62468516166728 45 2.26343946554138 0.187613216318046 0.627308090052506 "Phoenix" "AZ" 33.5791938 -112.1240864
"86" "1M4oczf2lmkdgbrJ3J7OqA" "Christopher's Restaurant/Crush Lounge" 92 2.77935440908433 34 3.24152546196286 126 2.90406723287695 0.0378505436906854 0.489957485090002 "Phoenix" "AZ" 33.5102068 -112.0272041
"87" "1NZLxU5WvB5roPFzneAlLw" "Barrio Café" 250 3.08423259361008 142 3.25804757576114 392 3.14719618408317 0.148455427835198 0.61369962274522 "Phoenix" "AZ" 33.478848 -112.0478217
"88" "1OA1jo0GlK9sf68f00w8ZQ" "In-N-Out Burger" 41 3.31305644306202 95 3.27375698475209 136 3.28560461556612 0.865686444176021 0.863030953467923 "Tempe" "AZ" 33.4352894 -111.9248982
"89" "1oFvqm7eSpJbVpxpPxueaA" "Buca di Beppo" 28 2.18001112934893 13 2.1613830996686 41 2.17410468091371 0.965239245779386 0.868034917757741 "Peoria" "AZ" 33.632441 -112.236796
"90" "1Q1hrAxT2X3lgxDLBOLEQA" "Kabuki Sushi & Grill" 31 2.91838899049687 12 2.79987176480583 43 2.88531441588542 0.699718454994035 0.830273243033883 "Peoria" "AZ" 33.6110589 -112.2400392
"91" "1sNa5oW9ZYX8MbMFkx9LzQ" "Jasmine Tokyo" 31 3.23470246953262 38 2.99225945598533 69 3.10118312873846 0.370565743890807 0.734099593788488 "Scottsdale" "AZ" 33.5826712 -111.929119
"92" "1vYaGPKQzMebBJXFCGTH2g" "The Prime Chinese Restaurant" 22 3.1934383361407 14 2.89887065734781 36 3.07888423883235 0.471313139228489 0.768315520425349 "Phoenix" "AZ" 33.509651 -112.075703
"93" "1zDCfNgtfyh-Uw8j3JxhHA" "Los Favoritos Tacos Shop" 12 2.91866879309829 33 2.9612350720576 45 2.94988406433512 0.932601532703792 0.864543834214415 "Tempe" "AZ" 33.4082896 -111.9161866
"94" "211DetkFdxd8sQ54CMU35A" "Smashburger" 15 3.10243461051649 25 3.20019597686635 40 3.16353546448516 0.765284552415177 0.845447077067012 "Tempe" "AZ" 33.4329724 -111.9043028
"95" "24OmQWFTnbfGv-e8GyEMAw" "Z'Tejas Grill" 53 2.98184371164643 32 2.95653676512516 85 2.97231639060313 0.904003852201342 0.864543834214415 "Phoenix" "AZ" 33.5834449 -111.9770187
"96" "24qSrF_XOrvaHDBy-gLIQg" "Baby Kay's Cajun Kitchen" 54 2.71546696538842 66 2.86034021683943 120 2.79514725368648 0.487417941110638 0.771643518666537 "Phoenix" "AZ" 33.509275 -112.0364759
"97" "24V8QQWO6VaVggHdxjQQ_A" "Arcadia Farms Cafe" 111 3.18962150587111 68 3.26985886339147 179 3.22010273666097 0.596021326763928 0.80740629801633 "Scottsdale" "AZ" 33.494247 -111.92975
"98" "250I2C80JTgVwE23IPylHQ" "Moreno's Mexican Grill" 13 3.28790877432532 23 2.81518701423922 36 2.98589209427031 0.102231096110603 0.572291599061811 "Chandler" "AZ" 33.3135537 -111.8412133
"99" "28ycqW56i70yM_C0ejNv9w" "Tien Wong Hot Pot" 37 3.14683279943937 21 2.8737487747204 58 3.04795754911009 0.473380805336559 0.769588211600888 "Chandler" "AZ" 33.33985 -111.860002
"100" "29hR24tcAM3JZaXfA5xCxQ" "deseo" 54 3.42977896207131 26 3.62885990037236 80 3.49448026701915 0.298561445295344 0.700749103717552 "Scottsdale" "AZ" 33.6071829 -111.9403254
"101" "2bdKR3l4o-S1CscLqqnvVw" "Thai Elephant" 78 2.94985941067597 39 2.91633328670648 117 2.93868403601948 0.870792757474055 0.863030953467923 "Tempe" "AZ" 33.421453 -111.950563
"102" "2BWTKRkPNgTTZNWGMkmYRw" "Coal Burger" 26 2.48311078320097 22 1.98211734452254 48 2.25348879047336 0.134655087740494 0.595327404432644 "Chandler" "AZ" 33.308771 -111.921403
"103" "2ceeU8e3nZjaPfGmLwh4kg" "Casey Moore's Oyster House" 163 2.96827695712172 151 3.17030934130194 314 3.06543265779438 0.10389689740052 0.572291599061811 "Tempe" "AZ" 33.420571 -111.942444
"104" "2DOJ2GyphXQf_f3OKJEPzw" "El Bravo" 10 3.34855828315196 20 1.77838290059289 30 2.30177469477925 9.91452068854758e-05 0.045022003103305 "Phoenix" "AZ" 33.4389591310641 -112.006316886792
"105" "2e4LeI46Mo9YF24RnnJadQ" "Smashburger" 18 2.95855612525236 26 2.43812325020123 44 2.65102760817669 0.0900853097288634 0.565945318461647 "Glendale" "AZ" 33.6107648 -112.1853698
"106" "2FudHUhV9U54dm0S1ePuCw" "Fair Trade Cafe" 67 2.9557487628909 61 3.11436722578682 128 3.03134037411474 0.427479227986828 0.74431825627904 "Phoenix" "AZ" 33.4593954 -112.0742496
"107" "2HHf0hiKtZm5nzt3irlaDA" "Pepe's Taco Villa" 17 2.88846126360629 15 3.06584645693671 32 2.97161057297992 0.582292037945997 0.796842343829183 "Phoenix" "AZ" 33.5097489 -112.1045404
"108" "2JZv-P1lDKOPKvefQlYDEQ" "Village Tavern" 52 2.69187322765176 24 2.65000392992595 76 2.6786513441594 0.869023407448884 0.863030953467923 "Scottsdale" "AZ" 33.5662285614511 -111.924898776627
"109" "2mcmuAvpNIJuV3gV0v9v2A" "Pholicious" 37 2.56954280044415 18 2.96812420645034 55 2.699987624228 0.195897374167723 0.627825452200785 "Peoria" "AZ" 33.5958042 -112.2226374
"110" "2nzUx_M8Szyzsf4CszHasw" "Crackers & Co Cafe" 78 3.38389383820783 50 3.43010179832555 128 3.40194382262881 0.798166483153218 0.85401972455593 "Mesa" "AZ" 33.383949 -111.843786
"111" "2OY8xs4aqOt8eTnYokdrww" "Elements" 118 3.31929628057471 50 3.52848043601668 168 3.38155346969434 0.17281261048952 0.627308090052506 "Paradise Valley" "AZ" 33.51878 -111.960826
"112" "2r8jGeuYvMkyP2ik_X-Bxw" "The Cheesecake Factory" 65 2.64027782868162 26 2.52417839491631 91 2.60710656189153 0.65291596097257 0.82128973354243 "Phoenix" "AZ" 33.5100084467657 -112.029651966191
"113" "2rMf09C5uXzF2qIlD5F5BA" "Secreto" 59 2.54491472860599 20 2.5846587596128 79 2.55497650860771 0.906830757910546 0.864543834214415 "Phoenix" "AZ" 33.305824 -111.991311
"114" "2RusLQcgpQ2BajF_1zevKg" "Nick's" 23 2.54942428998479 20 3.18679955583289 43 2.84587790200716 0.108255871111049 0.572291599061811 "Scottsdale" "AZ" 33.611653 -111.864712
"115" "2unQHR9uaRxk3dsW6f3MGA" "Lao Ching Hing" 29 2.14798902313326 18 2.41127119864019 47 2.248820494604 0.515680509328283 0.779471445814156 "Phoenix" "AZ" 33.455418 -111.987786
"116" "2VU7F1oqCxpVPVlvpwvacw" "Barfly" 31 2.85436427239226 17 3.01444436261283 48 2.91105930434538 0.642360318695817 0.81858774959226 "Phoenix" "AZ" 33.4356207 -112.0095457
"117" "35uDzLpJlbSztgkJLtg1kw" "Wildflower Bread Company" 26 3.32297697612098 57 3.06057132895501 83 3.1427706883082 0.150774840767524 0.619292404772303 "Tempe" "AZ" 33.362444 -111.912417
"118" "39oUcXr-06fcfT_MZ94z-Q" "Hap's Pit Barbecue" 19 2.77180741343658 25 2.71434492020748 44 2.73915826955641 0.848479994508197 0.863030953467923 "Phoenix" "AZ" 33.446572 -111.977677
"119" "3D8thbL2D2c3qTMeYROAOQ" "Hsin Cafe" 12 3.09574305182664 12 2.67447935421914 24 2.88511120302289 0.401156121977718 0.735799813523382 "Phoenix" "AZ" 33.4535069 -112.0722782
"120" "3E_toMWSUCuhRJzG1eml8Q" "Smashburger" 13 2.57324498163063 18 2.59521857935164 31 2.58600384482348 0.964475934553188 0.868034917757741 "Phoenix" "AZ" 33.7150071 -112.1129733
"121" "3ez4Qs56C_cC-l8x08l6Zw" "Metro Brasserie & Bar" 57 2.72486132003818 20 3.282681277448 77 2.86974962066411 0.00341639739095857 0.20848295596075 "Scottsdale" "AZ" 33.498915 -111.928258
"122" "3GAPcBG8SowgrpS6UHlDeQ" "Bombay Spice Grill" 82 2.75718389431298 47 2.41304193204682 129 2.63179883829353 0.165026001008854 0.627308090052506 "Phoenix" "AZ" 33.5839404 -111.9787698
"123" "3Gsex5Dyhnoul9l_914MGQ" "Rays Pizza" 13 2.77993562150314 15 2.75601787860027 28 2.76712254494803 0.955247441126926 0.868034917757741 "Phoenix" "AZ" 33.7110102 -112.1142778
"124" "3H2ttTM2aSIaZ6FTjHwDQQ" "Com Tam Thuan Kieu" 15 2.8303186443805 30 3.22693407890859 45 3.09472893406589 0.296995496330399 0.698352722608821 "Mesa" "AZ" 33.413158 -111.875779
"125" "3jqOv6re-xPYOg7srmi7tg" "Picazzo's Organic Italian Kitchen" 43 3.0145758149035 46 3.10515004359037 89 3.0613894611911 0.704984959700139 0.833468308196739 "Tempe" "AZ" 33.3350535 -111.9445749
